,date,factor_indicator,y
198,2013-12-16,10586.0422,0
199,2013-12-17,8848.1,1
200,2013-12-18,9903.1947,1
201,2013-12-19,7729.0011,1
202,2013-12-20,6257.5128,1
203,2013-12-23,8067.3784,1
204,2013-12-24,8826.2204,1
205,2013-12-25,7761.6302,1
206,2013-12-26,9998.3644,1
207,2013-12-27,7960.0406,1
208,2013-12-30,6765.545,1
209,2013-12-31,12291.8368,1
210,2014-01-02,9818.3787,1
211,2014-01-03,12370.2536,1
212,2014-01-06,10708.2762,1
213,2014-01-07,12123.2418,1
214,2014-01-08,13565.7866,1
215,2014-01-09,7336.7967,1
216,2014-01-10,8669.68,1
217,2014-01-13,5700.1501,1
218,2014-01-14,7113.3079,1
219,2014-01-15,4378.6266,0
220,2014-01-16,21981.5781,1
221,2014-01-17,8460.3015,1
222,2014-01-20,10261.0737,1
223,2014-01-21,8333.4997,1
224,2014-01-22,4494.1016,1
225,2014-02-07,11138.9453,1
226,2014-02-10,13360.0893,1
227,2014-02-11,14748.512,0
228,2014-02-12,13749.8912,1
229,2014-02-13,11785.0861,0
230,2014-02-14,10805.4994,1
231,2014-02-17,11425.7631,0
232,2014-02-18,12704.7758,0
233,2014-02-19,14505.6427,0
234,2014-02-20,11229.7384,0
235,2014-02-21,11643.8016,0
236,2014-02-24,4587.7951,0
237,2014-02-25,11645.1977,0
238,2014-02-26,12062.6634,0
239,2014-02-27,8722.6741,0
240,2014-02-28,5314.8116,0
241,2014-03-03,9798.585,1
242,2014-03-04,8892.4624,0
243,2014-03-05,10094.7484,0
244,2014-03-06,10167.1603,0
245,2014-03-07,10688.7816,0
246,2014-03-10,10984.083,0
247,2014-03-11,10650.8419,0
248,2014-03-12,7074.3077,0
249,2014-03-13,8596.5131,0
250,2014-03-14,7458.2999,0
251,2014-03-17,5068.9947,0
252,2014-03-18,6945.8647,0
253,2014-03-19,6140.9569,0
254,2014-03-20,4954.963,0
255,2014-03-21,5065.6991,0
256,2014-03-24,4457.0512,0
257,2014-03-25,2877.5716,0
258,2014-03-26,214.975,0
259,2014-03-27,937.3534,0
260,2014-03-28,476.3234,1
261,2014-03-31,807.2788,1
262,2014-04-01,191.784,1
263,2014-04-02,40118.5506,1
264,2014-04-03,63754.4572,1
265,2014-04-04,52347.9701,1
266,2014-04-08,29976.1268,1
267,2014-04-09,28369.7676,1
268,2014-04-10,28760.6695,1
269,2014-04-11,33363.0724,1
270,2014-04-14,30189.0399,0
271,2014-04-15,33893.6959,0
272,2014-04-16,34035.5399,0
273,2014-04-17,28215.3129,0
274,2014-04-18,25995.5735,0
275,2014-04-21,34750.8957,0
276,2014-04-22,19266.5111,1
277,2014-04-23,27230.6081,1
278,2014-04-24,23431.2902,1
279,2014-04-25,17086.7312,0
280,2014-04-28,29706.5018,0
281,2014-04-29,24991.0552,0
282,2014-04-30,29563.7943,0
283,2014-05-05,27554.9593,0
284,2014-05-06,27069.0786,0
285,2014-05-07,24324.9853,1
286,2014-05-08,22844.9381,0
287,2014-05-09,21774.8515,0
288,2014-05-12,28785.0356,0
289,2014-05-13,23977.1307,0
290,2014-05-14,22192.0708,0
291,2014-05-15,16358.3934,0
292,2014-05-16,10955.9191,0
293,2014-05-19,18409.7918,0
294,2014-05-20,17093.2358,1
295,2014-05-21,16251.7803,0
296,2014-05-22,12202.6622,0
297,2014-05-23,14618.5404,0
298,2014-05-26,15324.119,0
299,2014-05-27,13832.6777,0
300,2014-05-28,12995.2842,0
301,2014-05-29,12569.2712,0
302,2014-05-30,15014.179,0
303,2014-06-03,18808.5584,0
304,2014-06-04,19542.327,1
305,2014-06-05,12218.8286,0
306,2014-06-06,17219.32,1
307,2014-06-09,15821.5941,1
308,2014-06-10,15397.062,1
309,2014-06-11,15933.5786,0
310,2014-06-12,19009.9837,0
311,2014-06-13,15058.7813,1
312,2014-06-16,19578.8646,1
313,2014-06-17,13768.7071,0
314,2014-06-18,12002.6172,0
315,2014-06-19,9239.7341,0
316,2014-06-20,6173.3445,0
317,2014-06-23,12760.3385,0
318,2014-06-24,11389.7714,0
319,2014-06-25,13124.8437,0
320,2014-06-26,13018.4935,0
321,2014-06-27,9890.3739,0
322,2014-06-30,15507.6664,0
323,2014-07-01,12084.5372,0
324,2014-07-02,13182.0208,0
325,2014-07-03,12212.9758,0
326,2014-07-04,9848.6222,0
327,2014-07-07,14819.6915,0
328,2014-07-08,13097.4042,0
329,2014-07-09,12892.8354,0
330,2014-07-10,10415.2563,0
331,2014-07-11,10565.8456,1
332,2014-07-14,13522.4994,1
333,2014-07-15,10054.8249,1
334,2014-07-16,14904.4356,1
335,2014-07-17,8873.0197,1
336,2014-07-18,9785.3889,1
337,2014-07-21,13582.7537,0
338,2014-07-22,5929.737,0
339,2014-07-23,14065.5529,0
340,2014-07-24,12003.0632,0
341,2014-07-25,9992.5867,0
342,2014-07-28,12789.2455,1
343,2014-07-29,10196.3974,1
344,2014-07-30,7882.3459,1
345,2014-07-31,10990.554,1
346,2014-08-01,9910.1879,1
347,2014-08-04,20403.0239,1
348,2014-08-05,9606.4999,1
349,2014-08-06,21090.8715,1
350,2014-08-07,12012.4742,1
351,2014-08-08,8128.789,1
352,2014-08-11,10364.0906,0
353,2014-08-12,15494.6685,0
354,2014-08-13,14750.5062,0
355,2014-08-14,15553.8985,0
356,2014-08-15,9038.4299,0
357,2014-08-18,20617.3068,0
358,2014-08-19,3130.2761,1
359,2014-08-20,27221.5457,1
360,2014-08-21,21519.2971,0
361,2014-08-22,17608.5188,0
362,2014-08-25,18124.6621,0
363,2014-08-26,23479.5479,0
364,2014-08-27,18427.1949,0
365,2014-08-28,17169.9016,0
366,2014-08-29,16326.9689,0
367,2015-07-10,18391.4414,0
368,2015-07-13,8704.0,0
369,2015-07-14,5043.653,0
370,2015-07-15,4090.1267,0
371,2015-07-16,1044.4023,0
372,2015-07-17,2715.2521,1
373,2015-07-20,1952.9304,1
374,2015-07-21,3273.0006,1
375,2015-07-22,2381.6929,1
376,2015-07-23,4027.5046,1
377,2015-07-24,996.9875,0
378,2015-07-27,871.1678,0
379,2015-07-28,1020.5344,0
380,2015-07-29,733.7273,0
381,2015-07-30,1232.0395,0
382,2015-07-31,217.5271,0
383,2015-08-03,697.0477,0
384,2015-08-04,964.6,0
385,2015-08-05,893.8927,0
386,2015-08-06,836.8948,1
387,2015-08-07,214.4455,1
388,2015-08-10,217.9476,1
389,2015-08-11,560.941,1
390,2015-08-12,1406.8381,1
391,2015-08-13,1672.4121,1
392,2015-08-14,858.2226,0
393,2015-08-17,1589.3934,0
394,2015-08-18,1175.4494,0
395,2015-08-19,2067.1217,0
396,2015-08-20,1526.4402,0
397,2015-08-21,1619.33,0
398,2015-08-24,1282.6513,0
399,2015-08-25,1241.1178,1
400,2015-08-26,737.3136,1
401,2015-08-27,577.4469,1
402,2015-08-28,337.5589,0
403,2015-08-31,2074.7655,0
404,2016-05-03,2554.9948,0
405,2016-05-04,30136.88,0
406,2016-05-05,30266.35,1
407,2016-05-06,29924.3581,0
408,2016-05-09,30023.0846,0
409,2016-05-10,29899.1328,1
410,2016-05-11,29842.261,1
411,2016-05-12,27908.589,1
412,2016-05-13,32265.7474,1
413,2016-05-16,29834.4987,1
414,2016-05-17,30226.5606,1
415,2016-05-18,30024.7855,1
416,2016-05-19,25003.1396,1
417,2016-05-20,25550.5505,1
418,2016-05-23,27778.6243,1
419,2016-05-24,30050.3289,1
420,2016-05-25,29867.3466,1
421,2016-05-26,24703.6236,1
422,2016-05-27,19740.6521,0
423,2016-05-30,19831.8322,0
424,2016-05-31,26306.8719,0
425,2016-06-01,29446.4157,1
426,2016-06-02,20165.165,1
427,2016-06-03,23838.158,1
428,2016-06-06,19088.441,1
429,2016-06-07,28847.818,1
430,2016-06-08,21789.537,1
431,2016-06-13,19877.8586,1
432,2016-06-14,25805.03,1
433,2016-06-15,18131.9,1
434,2016-06-16,17991.147,1
435,2016-06-17,20715.217,1
436,2016-06-20,20134.16,1
437,2016-06-21,29245.03,1
438,2016-06-22,23214.94,1
439,2016-06-23,17519.76,1
440,2016-06-24,16671.04,1
441,2016-06-27,18982.16,1
442,2016-06-28,29986.722,1
443,2016-06-29,21678.553,1
444,2016-06-30,18026.716,1
445,2016-07-01,18463.952,0
446,2016-07-04,18832.551,1
447,2016-07-05,30008.841,0
448,2016-07-06,28034.2588,1
449,2016-07-07,21536.052,1
450,2016-07-08,20820.76,1
451,2016-07-11,23253.99,1
452,2016-07-12,30031.478,1
453,2016-07-13,30020.032,0
454,2016-07-14,30007.824,0
455,2016-07-15,30001.345,0
456,2016-07-18,29237.61,0
457,2016-07-19,30027.202,0
458,2016-07-20,30015.143,1
459,2016-07-21,30013.158,0
460,2016-07-22,28839.301,0
461,2016-07-25,25023.534,0
462,2016-07-26,30046.013,0
463,2016-07-27,30027.363,0
464,2016-07-28,30016.338,0
465,2016-07-29,30019.894,1
466,2016-08-01,28122.355,1
467,2016-08-02,26370.518,0
468,2016-08-03,22355.13,1
469,2016-08-04,14192.625,1
470,2016-08-05,6823.798,0
471,2016-08-08,15847.672,0
472,2016-08-09,19572.066,0
473,2016-08-10,17612.77,1
474,2016-08-11,20628.172,1
475,2016-08-12,17440.988,0
476,2016-08-15,17489.3,0
477,2016-08-16,17905.379,0
478,2016-08-17,15380.3248,0
479,2016-08-18,17140.764,0
480,2016-08-19,13523.868,0
481,2016-08-22,8478.18,0
482,2016-08-23,20066.76,0
483,2016-08-24,22447.475,0
484,2016-08-25,22303.8238,0
485,2016-08-26,21132.734,0
486,2016-08-29,18250.16,0
487,2016-08-30,22112.693,1
488,2016-08-31,22556.687,1
489,2016-09-01,21527.294,1
490,2016-09-02,15849.305,1
491,2016-09-05,20043.679,1
492,2016-09-06,22445.995,1
493,2016-09-07,27096.322,1
494,2016-09-08,29725.592,1
495,2016-09-09,29286.114,1
496,2016-09-12,29061.634,1
497,2016-09-13,29299.987,1
498,2016-09-14,26668.548,1
499,2016-09-19,28843.784,1
500,2016-09-20,25651.545,1
501,2016-09-21,30037.911,1
502,2016-09-22,30041.821,1
503,2016-09-23,30045.696,1
504,2016-09-26,30016.348,1
505,2016-09-27,30022.512,1
506,2016-09-28,30132.187,1
507,2016-09-29,30111.341,1
508,2016-09-30,34054.157,1
509,2017-03-06,64624.5512,1
510,2017-03-07,30169.357,0
511,2017-03-08,30031.149,0
512,2017-03-09,29861.398,0
513,2017-03-10,31151.243,0
514,2017-03-13,29995.004,0
515,2017-03-14,27153.326,0
516,2017-03-15,24407.36,0
517,2017-03-16,22228.861,1
518,2017-03-17,21893.232,0
519,2017-03-20,20948.569,0
520,2017-03-21,24230.962,0
521,2017-03-22,23248.561,0
522,2017-03-23,17771.551,0
523,2017-03-24,22139.925,1
524,2017-03-27,19718.686,1
525,2017-03-28,17687.415,1
526,2017-03-29,18629.315,1
527,2017-03-30,20192.359,1
528,2017-03-31,16797.68,1
529,2017-04-05,17466.594,1
530,2017-04-06,14994.989,1
531,2017-04-07,17101.54,1
532,2017-04-10,22911.038,1
533,2017-04-11,25660.009,1
534,2017-04-12,26174.012,1
535,2017-04-13,24264.929,1
536,2017-04-14,23880.565,1
537,2017-04-17,20803.192,1
538,2017-04-18,21639.837,1
539,2017-04-19,22370.285,1
540,2017-04-20,22178.969,1
541,2017-04-21,19875.045,0
542,2017-04-24,24617.025,0
543,2017-04-25,19755.105,1
544,2017-04-26,17569.062,1
545,2017-04-27,22452.958,0
546,2017-04-28,23527.444,0
547,2017-05-02,19279.948,0
548,2017-05-03,21802.419,0
549,2017-05-04,19368.69,0
550,2017-05-05,17658.6,0
551,2017-05-08,21323.248,1
552,2017-05-09,19853.912,1
553,2017-05-10,15129.665,1
554,2017-05-11,18352.258,1
555,2017-05-12,17115.498,1
556,2017-05-15,18487.022,0
557,2017-05-16,24817.198,0
558,2017-05-17,25121.471,0
559,2017-05-18,25356.068,0
560,2017-05-19,24316.882,0
561,2017-05-22,25544.275,0
562,2017-05-23,18445.814,0
563,2017-05-24,18054.174,0
564,2017-05-25,16058.026,0
565,2017-05-26,15230.481,0
566,2017-05-31,13720.305,0
567,2017-06-01,20591.496,1
568,2017-06-02,19767.644,1
569,2017-06-05,21502.448,0
570,2017-06-06,19857.691,0
571,2017-06-07,19521.421,0
572,2017-06-08,19232.276,0
573,2017-06-09,20542.612,0
574,2017-06-12,19045.352,0
575,2017-06-13,20291.09,0
576,2017-06-14,19314.715,1
577,2017-06-15,18507.385,0
578,2017-06-16,14197.401,1
579,2017-06-19,18884.398,1
580,2017-06-20,19478.917,0
581,2017-06-21,18201.529,0
582,2017-06-22,17947.134,0
583,2017-06-23,15833.928,0
584,2017-06-26,16092.262,0
585,2017-06-27,23733.646,0
586,2017-06-28,19800.299,0
587,2017-06-29,19727.346,1
588,2017-06-30,16937.809,1
589,2017-07-03,15710.708,1
590,2017-07-04,18377.544,0
591,2017-07-05,16675.868,1
592,2017-07-06,13204.329,1
593,2017-07-07,17370.32,1
594,2017-07-10,19701.204,1
595,2017-07-11,20385.791,1
596,2017-07-12,21544.852,1
597,2017-07-13,20790.745,1
598,2017-07-14,20090.501,0
599,2017-07-17,18738.775,0
600,2017-07-18,20701.894,0
601,2017-07-19,23428.699,0
602,2017-07-20,24740.125,0
603,2017-07-21,25158.631,0
604,2017-07-24,24027.532,0
605,2017-07-25,16997.304,0
606,2017-07-26,17231.784,0
607,2017-07-27,16747.859,1
608,2017-07-28,15723.452,1
609,2017-07-31,14245.015,1
610,2017-08-01,14773.432,1
611,2017-08-02,13952.626,1
612,2017-08-03,13938.7,1
613,2017-08-04,11689.992,1
614,2017-08-07,11446.003,1
615,2017-08-08,20147.763,1
616,2017-08-09,24423.5516,0
617,2017-08-10,25061.323,0
