,date,basis_factor_shift,profit_factor_shift,consumption_factor_shift,y
184,2014-03-18,480.0,4189.0,6945.8647,0
185,2014-03-19,3297.0,4248.0,6140.9569,0
186,2014-03-20,3248.0,4123.0,4954.963,0
187,2014-03-21,3243.0,4193.0,5065.6991,0
188,2014-03-24,3202.0,4256.0,4457.0512,0
189,2014-03-25,3247.0,4059.0,2877.5716,0
190,2014-03-26,3434.0,4486.0,214.975,0
191,2014-03-27,3426.0,4006.0,937.3534,0
192,2014-03-28,3639.0,4389.0,476.3234,1
193,2014-03-31,3607.0,4248.0,807.2788,1
194,2014-04-01,3436.0,4124.0,191.784,1
195,2014-04-02,3473.0,4114.0,40118.5506,1
196,2014-04-03,3515.0,4349.0,63754.4572,1
197,2014-04-04,3590.0,4449.0,52347.9701,1
198,2014-04-08,3150.0,4167.0,29976.1268,1
199,2014-04-09,2747.0,4270.0,28369.7676,1
200,2014-04-10,2593.0,3827.0,28760.6695,1
201,2014-04-11,2476.0,3893.0,33363.0724,0
202,2014-04-14,2405.0,4083.0,30189.0399,0
203,2014-04-15,2367.0,4075.0,33893.6959,0
204,2014-04-16,2288.0,3811.0,34035.5399,0
205,2014-04-17,2259.0,3962.0,28215.3129,0
206,2014-04-22,2167.0,3785.0,25995.5735,0
207,2014-04-23,2172.0,3611.0,27230.6081,1
208,2014-04-24,2098.0,3348.0,23431.2902,1
209,2014-04-25,1893.0,3279.0,17086.7312,0
210,2014-04-28,1756.0,3065.0,29706.5018,0
211,2014-04-29,1518.0,2957.0,24991.0552,0
212,2014-04-30,1422.0,2925.0,29563.7943,0
213,2014-05-05,1368.0,2638.0,27554.9593,0
214,2014-05-06,1340.0,2502.0,27069.0786,0
215,2014-05-07,1435.0,2425.0,24324.9853,1
216,2014-05-08,1450.0,2518.0,22844.9381,0
217,2014-05-09,1466.0,2736.0,21774.8515,0
218,2014-05-12,1447.0,2659.0,28785.0356,0
219,2014-05-13,1555.0,2745.0,23977.1307,0
220,2014-05-14,1525.0,2854.0,22192.0708,0
221,2014-05-15,1408.0,2867.0,16358.3934,0
222,2014-05-16,1433.0,2863.0,10955.9191,0
223,2014-05-19,1517.0,2886.0,18409.7918,0
224,2014-05-20,1605.0,2899.0,17093.2358,0
225,2014-05-21,1542.0,2942.0,16251.7803,0
226,2014-05-22,1515.0,2940.0,12202.6622,0
227,2014-05-23,1539.0,2899.0,14618.5404,0
228,2014-05-27,1542.0,3124.0,15324.119,0
229,2014-05-28,1572.0,3227.0,12995.2842,0
230,2014-05-29,1665.0,3326.0,12569.2712,0
231,2014-05-30,1662.0,3339.0,15014.179,0
