,Symbol,SymbolDate,UpdateDate,DelayDate,SymbolVal,Tag,ValStr
0,轻纺城棉布日成交量|DZ,2014-06-20,2021-11-23,,35.0,,
114,轻纺城棉布日成交量|DZ,2014-10-12,2021-11-23,,38.0,,
115,轻纺城棉布日成交量|DZ,2014-10-13,2021-11-23,,36.0,,
116,轻纺城棉布日成交量|DZ,2014-10-14,2021-11-23,,41.0,,
117,轻纺城棉布日成交量|DZ,2014-10-15,2021-11-23,,44.0,,
118,轻纺城棉布日成交量|DZ,2014-10-16,2021-11-23,,46.0,,
119,轻纺城棉布日成交量|DZ,2014-10-17,2021-11-23,,48.0,,
120,轻纺城棉布日成交量|DZ,2014-10-18,2021-11-23,,53.0,,
121,轻纺城棉布日成交量|DZ,2014-10-19,2021-11-23,,40.0,,
122,轻纺城棉布日成交量|DZ,2014-10-20,2021-11-23,,37.0,,
123,轻纺城棉布日成交量|DZ,2014-10-21,2021-11-23,,40.0,,
124,轻纺城棉布日成交量|DZ,2014-10-22,2021-11-23,,43.0,,
125,轻纺城棉布日成交量|DZ,2014-10-23,2021-11-23,,47.0,,
126,轻纺城棉布日成交量|DZ,2014-10-24,2021-11-23,,51.0,,
127,轻纺城棉布日成交量|DZ,2014-10-25,2021-11-23,,59.0,,
128,轻纺城棉布日成交量|DZ,2014-10-26,2021-11-23,,42.0,,
129,轻纺城棉布日成交量|DZ,2014-10-27,2021-11-23,,31.0,,
130,轻纺城棉布日成交量|DZ,2014-10-28,2021-11-23,,36.0,,
131,轻纺城棉布日成交量|DZ,2014-10-29,2021-11-23,,40.0,,
132,轻纺城棉布日成交量|DZ,2014-10-30,2021-11-23,,46.0,,
133,轻纺城棉布日成交量|DZ,2014-10-31,2021-11-23,,49.0,,
134,轻纺城棉布日成交量|DZ,2014-11-01,2021-11-23,,64.0,,
135,轻纺城棉布日成交量|DZ,2014-11-02,2021-11-23,,48.0,,
136,轻纺城棉布日成交量|DZ,2014-11-03,2021-11-23,,42.0,,
137,轻纺城棉布日成交量|DZ,2014-11-04,2021-11-23,,46.0,,
138,轻纺城棉布日成交量|DZ,2014-11-05,2021-11-23,,49.0,,
139,轻纺城棉布日成交量|DZ,2014-11-06,2021-11-23,,51.0,,
140,轻纺城棉布日成交量|DZ,2014-11-07,2021-11-23,,52.0,,
141,轻纺城棉布日成交量|DZ,2014-11-08,2021-11-23,,63.0,,
142,轻纺城棉布日成交量|DZ,2014-11-09,2021-11-23,,45.0,,
143,轻纺城棉布日成交量|DZ,2014-11-10,2021-11-23,,40.0,,
144,轻纺城棉布日成交量|DZ,2014-11-11,2021-11-23,,45.0,,
145,轻纺城棉布日成交量|DZ,2014-11-12,2021-11-23,,48.0,,
146,轻纺城棉布日成交量|DZ,2014-11-13,2021-11-23,,53.0,,
147,轻纺城棉布日成交量|DZ,2014-11-14,2021-11-23,,58.0,,
148,轻纺城棉布日成交量|DZ,2014-11-15,2021-11-23,,67.0,,
149,轻纺城棉布日成交量|DZ,2014-11-16,2021-11-23,,44.0,,
150,轻纺城棉布日成交量|DZ,2014-11-17,2021-11-23,,39.0,,
151,轻纺城棉布日成交量|DZ,2014-11-18,2021-11-23,,43.0,,
152,轻纺城棉布日成交量|DZ,2014-11-19,2021-11-23,,49.0,,
153,轻纺城棉布日成交量|DZ,2014-11-20,2021-11-23,,54.0,,
154,轻纺城棉布日成交量|DZ,2014-11-21,2021-11-23,,57.0,,
155,轻纺城棉布日成交量|DZ,2014-11-22,2021-11-23,,70.0,,
156,轻纺城棉布日成交量|DZ,2014-11-23,2021-11-23,,46.0,,
157,轻纺城棉布日成交量|DZ,2014-11-24,2021-11-23,,41.0,,
158,轻纺城棉布日成交量|DZ,2014-11-25,2021-11-23,,38.0,,
159,轻纺城棉布日成交量|DZ,2014-11-26,2021-11-23,,42.0,,
160,轻纺城棉布日成交量|DZ,2014-11-27,2021-11-23,,49.0,,
161,轻纺城棉布日成交量|DZ,2014-11-28,2021-11-23,,55.0,,
162,轻纺城棉布日成交量|DZ,2014-11-29,2021-11-23,,73.0,,
163,轻纺城棉布日成交量|DZ,2014-11-30,2021-11-23,,54.0,,
164,轻纺城棉布日成交量|DZ,2014-12-01,2021-11-23,,37.0,,
165,轻纺城棉布日成交量|DZ,2014-12-02,2021-11-23,,40.0,,
166,轻纺城棉布日成交量|DZ,2014-12-03,2021-11-23,,42.0,,
167,轻纺城棉布日成交量|DZ,2014-12-04,2021-11-23,,44.0,,
168,轻纺城棉布日成交量|DZ,2014-12-05,2021-11-23,,56.0,,
169,轻纺城棉布日成交量|DZ,2014-12-06,2021-11-23,,81.0,,
170,轻纺城棉布日成交量|DZ,2014-12-07,2021-11-23,,68.0,,
171,轻纺城棉布日成交量|DZ,2014-12-08,2021-11-23,,43.0,,
172,轻纺城棉布日成交量|DZ,2014-12-09,2021-11-23,,46.0,,
173,轻纺城棉布日成交量|DZ,2014-12-10,2021-11-23,,50.0,,
174,轻纺城棉布日成交量|DZ,2014-12-11,2021-11-23,,47.0,,
175,轻纺城棉布日成交量|DZ,2014-12-12,2021-11-23,,52.0,,
176,轻纺城棉布日成交量|DZ,2014-12-13,2021-11-23,,79.0,,
177,轻纺城棉布日成交量|DZ,2014-12-14,2021-11-23,,55.0,,
178,轻纺城棉布日成交量|DZ,2014-12-15,2021-11-23,,44.0,,
179,轻纺城棉布日成交量|DZ,2014-12-16,2021-11-23,,48.0,,
180,轻纺城棉布日成交量|DZ,2014-12-17,2021-11-23,,50.0,,
181,轻纺城棉布日成交量|DZ,2014-12-18,2021-11-23,,53.0,,
182,轻纺城棉布日成交量|DZ,2014-12-19,2021-11-23,,58.0,,
183,轻纺城棉布日成交量|DZ,2014-12-20,2021-11-23,,71.0,,
184,轻纺城棉布日成交量|DZ,2014-12-21,2021-11-23,,66.0,,
185,轻纺城棉布日成交量|DZ,2014-12-22,2021-11-23,,46.0,,
186,轻纺城棉布日成交量|DZ,2014-12-23,2021-11-23,,42.0,,
187,轻纺城棉布日成交量|DZ,2014-12-24,2021-11-23,,46.0,,
188,轻纺城棉布日成交量|DZ,2014-12-25,2021-11-23,,51.0,,
189,轻纺城棉布日成交量|DZ,2014-12-26,2021-11-23,,57.0,,
190,轻纺城棉布日成交量|DZ,2014-12-27,2021-11-23,,69.0,,
191,轻纺城棉布日成交量|DZ,2014-12-28,2021-11-23,,54.0,,
192,轻纺城棉布日成交量|DZ,2014-12-29,2021-11-23,,45.0,,
193,轻纺城棉布日成交量|DZ,2014-12-30,2021-11-23,,40.0,,
194,轻纺城棉布日成交量|DZ,2014-12-31,2021-11-23,,44.0,,
195,轻纺城棉布日成交量|DZ,2015-01-01,2021-11-23,,52.0,,
196,轻纺城棉布日成交量|DZ,2015-01-02,2021-11-23,,48.0,,
197,轻纺城棉布日成交量|DZ,2015-01-03,2021-11-23,,36.0,,
198,轻纺城棉布日成交量|DZ,2015-01-04,2021-11-23,,33.0,,
199,轻纺城棉布日成交量|DZ,2015-01-05,2021-11-23,,39.0,,
200,轻纺城棉布日成交量|DZ,2015-01-06,2021-11-23,,38.0,,
201,轻纺城棉布日成交量|DZ,2015-01-07,2021-11-23,,40.0,,
202,轻纺城棉布日成交量|DZ,2015-01-08,2021-11-23,,43.0,,
203,轻纺城棉布日成交量|DZ,2015-01-09,2021-11-23,,45.0,,
204,轻纺城棉布日成交量|DZ,2015-01-10,2021-11-23,,51.0,,
205,轻纺城棉布日成交量|DZ,2015-01-11,2021-11-23,,37.0,,
206,轻纺城棉布日成交量|DZ,2015-01-12,2021-11-23,,32.0,,
207,轻纺城棉布日成交量|DZ,2015-01-13,2021-11-23,,35.0,,
208,轻纺城棉布日成交量|DZ,2015-01-14,2021-11-23,,38.0,,
209,轻纺城棉布日成交量|DZ,2015-01-15,2021-11-23,,42.0,,
210,轻纺城棉布日成交量|DZ,2015-01-16,2021-11-23,,44.0,,
211,轻纺城棉布日成交量|DZ,2015-01-17,2021-11-23,,59.0,,
212,轻纺城棉布日成交量|DZ,2015-01-18,2021-11-23,,42.0,,
213,轻纺城棉布日成交量|DZ,2015-01-19,2021-11-23,,36.0,,
214,轻纺城棉布日成交量|DZ,2015-01-20,2021-11-23,,40.0,,
215,轻纺城棉布日成交量|DZ,2015-01-21,2021-11-23,,43.0,,
216,轻纺城棉布日成交量|DZ,2015-01-22,2021-11-23,,41.0,,
217,轻纺城棉布日成交量|DZ,2015-01-23,2021-11-23,,43.0,,
218,轻纺城棉布日成交量|DZ,2015-01-24,2021-11-23,,55.0,,
219,轻纺城棉布日成交量|DZ,2015-01-25,2021-11-23,,37.0,,
220,轻纺城棉布日成交量|DZ,2015-01-26,2021-11-23,,34.0,,
221,轻纺城棉布日成交量|DZ,2015-01-27,2021-11-23,,36.0,,
222,轻纺城棉布日成交量|DZ,2015-01-28,2021-11-23,,38.0,,
223,轻纺城棉布日成交量|DZ,2015-01-29,2021-11-23,,37.0,,
224,轻纺城棉布日成交量|DZ,2015-01-30,2021-11-23,,39.0,,
225,轻纺城棉布日成交量|DZ,2015-01-31,2021-11-23,,50.0,,
226,轻纺城棉布日成交量|DZ,2015-02-01,2021-11-23,,34.0,,
227,轻纺城棉布日成交量|DZ,2015-02-02,2021-11-23,,32.0,,
228,轻纺城棉布日成交量|DZ,2015-02-03,2021-11-23,,34.0,,
229,轻纺城棉布日成交量|DZ,2015-02-04,2021-11-23,,36.0,,
230,轻纺城棉布日成交量|DZ,2015-02-05,2021-11-23,,33.0,,
231,轻纺城棉布日成交量|DZ,2015-02-06,2021-11-23,,36.0,,
232,轻纺城棉布日成交量|DZ,2015-02-07,2021-11-23,,41.0,,
233,轻纺城棉布日成交量|DZ,2015-02-08,2021-11-23,,25.0,,
234,轻纺城棉布日成交量|DZ,2015-02-09,2021-11-23,,10.0,,
235,轻纺城棉布日成交量|DZ,2015-02-10,2021-11-23,,7.0,,
236,轻纺城棉布日成交量|DZ,2015-02-11,2021-11-23,,5.0,,
237,轻纺城棉布日成交量|DZ,2015-02-25,2021-11-23,,2.0,,
238,轻纺城棉布日成交量|DZ,2015-02-26,2021-11-23,,4.0,,
239,轻纺城棉布日成交量|DZ,2015-02-27,2021-11-23,,5.0,,
240,轻纺城棉布日成交量|DZ,2015-02-28,2021-11-23,,6.0,,
241,轻纺城棉布日成交量|DZ,2015-03-01,2021-11-23,,5.0,,
242,轻纺城棉布日成交量|DZ,2015-03-02,2021-11-23,,7.0,,
243,轻纺城棉布日成交量|DZ,2015-03-03,2021-11-23,,11.0,,
244,轻纺城棉布日成交量|DZ,2015-03-04,2021-11-23,,13.0,,
245,轻纺城棉布日成交量|DZ,2015-03-05,2021-11-23,,9.0,,
246,轻纺城棉布日成交量|DZ,2015-03-06,2021-11-23,,14.0,,
247,轻纺城棉布日成交量|DZ,2015-03-07,2021-11-23,,16.0,,
248,轻纺城棉布日成交量|DZ,2015-03-08,2021-11-23,,10.0,,
249,轻纺城棉布日成交量|DZ,2015-03-09,2021-11-23,,15.0,,
250,轻纺城棉布日成交量|DZ,2015-03-10,2021-11-23,,22.0,,
251,轻纺城棉布日成交量|DZ,2015-03-11,2021-11-23,,25.0,,
252,轻纺城棉布日成交量|DZ,2015-03-12,2021-11-23,,28.0,,
253,轻纺城棉布日成交量|DZ,2015-03-13,2021-11-23,,31.0,,
254,轻纺城棉布日成交量|DZ,2015-03-14,2021-11-23,,23.0,,
255,轻纺城棉布日成交量|DZ,2015-03-15,2021-11-23,,27.0,,
